from_id,to_id,mode,intra_or_inter,reason,distance_km,time_base_min,time_min,cost_base_rs,cost_rs,region_from,region_to
CDP_Metro,NAR_Metro,metro,intra,Green_Line,0.8481523855216399,3.526674293938952,4.584676582120637,10.0,10.0,R3,R2
NAR_Metro,CDP_Metro,metro,intra,Green_Line,0.8481523855216399,3.526674293938952,4.584676582120637,10.0,10.0,R3,R2
NAR_Metro,SUB_Metro,metro,intra,Green_Line,1.2699638318414388,4.28593489731459,6.000308856240426,10.0,10.0,R2,R2
SUB_Metro,NAR_Metro,metro,intra,Green_Line,1.2699638318414388,4.28593489731459,6.000308856240426,10.0,10.0,R2,R2
SUB_Metro,MGB_Metro,metro,intra,Green_Line,0.5653157832384984,3.0175684098292974,4.224595773761016,10.0,10.0,R2,R2
MGB_Metro,SUB_Metro,metro,intra,Green_Line,0.5653157832384984,3.0175684098292974,4.224595773761016,10.0,10.0,R2,R2
LPI_MMTS,CDNR_MMTS,mmts,intra,Main_corridor,1.7349143681085355,6.469828736217071,7.440303046649631,7.830442698727689,7.830442698727689,R4,R5
CDNR_MMTS,LPI_MMTS,mmts,intra,Main_corridor,1.7349143681085355,6.469828736217071,7.440303046649631,7.830442698727689,7.830442698727689,R4,R5
CDNR_MMTS,HFZ_MMTS,mmts,intra,Main_corridor,3.262290479499232,9.524580958998463,10.47703905489831,9.992370076441338,9.992370076441338,R5,R5
HFZ_MMTS,CDNR_MMTS,mmts,intra,Main_corridor,3.262290479499232,9.524580958998463,10.47703905489831,9.992370076441338,9.992370076441338,R5,R5
HFZ_MMTS,HTCY_MMTS,mmts,intra,Main_corridor,2.754892027877741,8.509784055755482,9.786251664118804,9.40630818307111,9.40630818307111,R5,R4
HTCY_MMTS,HFZ_MMTS,mmts,intra,Main_corridor,2.754892027877741,8.509784055755482,9.786251664118804,9.40630818307111,9.40630818307111,R5,R4
HTCY_MMTS,BRBD_MMTS,mmts,intra,Main_corridor,2.669264724337515,8.338529448675029,10.006235338410034,9.454091940831589,9.454091940831589,R4,R4
BRBD_MMTS,HTCY_MMTS,mmts,intra,Main_corridor,2.669264724337515,8.338529448675029,10.006235338410034,9.454091940831589,9.454091940831589,R4,R4
BRBD_MMTS,BTNR_MMTS,mmts,intra,Main_corridor,2.3992528747728152,7.7985057495456305,9.358206899454755,9.028823277767184,9.028823277767184,R4,R4
BTNR_MMTS,BRBD_MMTS,mmts,intra,Main_corridor,2.3992528747728152,7.7985057495456305,9.358206899454755,9.028823277767184,9.028823277767184,R4,R4
BTNR_MMTS,FNB_MMTS,mmts,intra,Main_corridor,2.239714848058622,7.479429696117244,8.975315635340692,8.693955162971452,8.693955162971452,R4,R3
FNB_MMTS,BTNR_MMTS,mmts,intra,Main_corridor,2.239714848058622,7.479429696117244,8.975315635340692,8.693955162971452,8.693955162971452,R4,R3
FNB_MMTS,NCHS_MMTS,mmts,intra,Main_corridor,1.1521129910568184,5.304225982113637,6.365071178536365,6.9300145711827845,6.9300145711827845,R3,R3
NCHS_MMTS,FNB_MMTS,mmts,intra,Main_corridor,1.1521129910568184,5.304225982113637,6.365071178536365,6.9300145711827845,6.9300145711827845,R3,R3
NCHS_MMTS,NLRD_MMTS,mmts,intra,Main_corridor,2.720147774629708,8.440295549259417,10.1283546591113,9.3526283118029,9.3526283118029,R3,R3
NLRD_MMTS,NCHS_MMTS,mmts,intra,Main_corridor,2.720147774629708,8.440295549259417,10.1283546591113,9.3526283118029,9.3526283118029,R3,R3
NLRD_MMTS,KQD_MMTS,mmts,intra,Main_corridor,1.198365949483321,5.396731898966642,6.476078278759971,7.001475391951732,7.001475391951732,R3,R3
KQD_MMTS,NLRD_MMTS,mmts,intra,Main_corridor,1.198365949483321,5.396731898966642,6.476078278759971,7.001475391951732,7.001475391951732,R3,R3
KQD_MMTS,LKPL_MMTS,mmts,intra,Main_corridor,1.0545515331241682,5.109103066248336,6.130923679498003,6.77928211867684,6.77928211867684,R3,R3
LKPL_MMTS,KQD_MMTS,mmts,intra,Main_corridor,1.0545515331241682,5.109103066248336,6.130923679498003,6.77928211867684,6.77928211867684,R3,R3
LKPL_MMTS,BMT_MMTS,mmts,intra,Main_corridor,3.9240104931499182,10.848020986299836,13.017625183559804,11.212596211916624,11.212596211916624,R3,R3
BMT_MMTS,LKPL_MMTS,mmts,intra,Main_corridor,3.9240104931499182,10.848020986299836,13.017625183559804,11.212596211916624,11.212596211916624,R3,R3
BMT_MMTS,SC_MMTS,mmts,intra,Main_corridor,4.63782251141738,12.27564502283476,15.34455627854345,12.554570455482375,12.554570455482375,R3,R1
SC_MMTS,BMT_MMTS,mmts,intra,Main_corridor,4.63782251141738,12.27564502283476,15.34455627854345,12.554570455482375,12.554570455482375,R3,R1
SC_MMTS,ATC_MMTS,mmts,intra,Main_corridor,2.589140279462501,8.178280558925003,10.631764726602505,9.505570148537316,9.505570148537316,R1,R1
ATC_MMTS,SC_MMTS,mmts,intra,Main_corridor,2.589140279462501,8.178280558925003,10.631764726602505,9.505570148537316,9.505570148537316,R1,R1
ATC_MMTS,JOO_MMTS,mmts,intra,Main_corridor,0.7815736056083611,4.563147211216722,5.932091374581739,6.60442563700142,6.60442563700142,R1,R1
JOO_MMTS,ATC_MMTS,mmts,intra,Main_corridor,0.7815736056083611,4.563147211216722,5.932091374581739,6.60442563700142,6.60442563700142,R1,R1
JOO_MMTS,VAR_MMTS,mmts,intra,Main_corridor,1.2951949898619148,5.590389979723829,6.987987474654787,7.289932109032517,7.289932109032517,R1,R3
VAR_MMTS,JOO_MMTS,mmts,intra,Main_corridor,1.2951949898619148,5.590389979723829,6.987987474654787,7.289932109032517,7.289932109032517,R1,R3
VAR_MMTS,STPD_MMTS,mmts,intra,Main_corridor,3.0476407562453365,9.095281512490672,11.36910189061334,10.050034191086404,10.050034191086404,R3,R1
STPD_MMTS,VAR_MMTS,mmts,intra,Main_corridor,3.0476407562453365,9.095281512490672,11.36910189061334,10.050034191086404,10.050034191086404,R3,R1
STPD_MMTS,MJF_MMTS,mmts,intra,Main_corridor,2.4100172414624508,7.820034482924901,10.166044827802372,9.218077672547231,9.218077672547231,R1,R1
MJF_MMTS,STPD_MMTS,mmts,intra,Main_corridor,2.4100172414624508,7.820034482924901,10.166044827802372,9.218077672547231,9.218077672547231,R1,R1
MJF_MMTS,CHZ_MMTS,mmts,intra,Main_corridor,8.221128440313267,19.44225688062653,22.35859541272051,17.851643440284,17.851643440284,R1,R6
CHZ_MMTS,MJF_MMTS,mmts,intra,Main_corridor,8.221128440313267,19.44225688062653,22.35859541272051,17.851643440284,17.851643440284,R1,R6
SC_MMTS,JET_MMTS,mmts,intra,South_corridor,1.5264826350694265,6.052965270138853,7.566206587673566,7.654210150234348,7.654210150234348,R1,R3
